date,to_type,sport,store,turnover,quantity,nb_transaction
8/1/2017 0:00,offline,GOLF,1614,2470,95,26
8/1/2017 0:00,online,Others,191,97,1,97
8/1/2017 0:00,offline,FITNESS,1614,897,69,13
8/1/2017 0:00,offline,CROSSTRAIN,1614,408,68,6
8/1/2017 0:00,offline,HIKING/TREKKING,1614,330,5,66
8/1/2017 0:00,online,JOG/RUN,191,405,9,45
8/1/2017 0:00,offline,VOLLEYBALL,1618,3360,56,60
8/1/2017 0:00,online,SKI,191,80,20,4
8/1/2017 0:00,online,BASKETBALL,191,3220,70,46
8/1/2017 0:00,offline,TRAIL,1614,1072,67,16
8/1/2017 0:00,online,TENNIS,191,348,58,6
8/2/2017 0:00,offline,FITNESS,1618,3650,50,73
8/2/2017 0:00,offline,CYCLING,1618,504,84,6
8/2/2017 0:00,offline,TENNIS,1614,1083,19,57
8/2/2017 0:00,offline,SWIMMING,1618,1224,18,68
8/2/2017 0:00,offline,TENNIS,1618,1625,65,25
8/2/2017 0:00,offline,SWIMMING,1614,2520,70,36
8/2/2017 0:00,offline,CLIMBING,1618,648,18,36
8/2/2017 0:00,offline,TABLE_TENNIS,1618,2574,39,66
8/2/2017 0:00,offline,VOLLEYBALL,1614,1035,69,15
8/2/2017 0:00,offline,CROSSTRAIN,1618,4697,61,77
8/2/2017 0:00,offline,JOG/RUN,1618,2457,63,39
8/2/2017 0:00,online,GOLF,191,5310,59,90
8/2/2017 0:00,online,SAILING,191,3822,91,42
8/2/2017 0:00,offline,DIVING,1618,4402,62,71
8/2/2017 0:00,offline,SURFING,1618,2738,37,74
8/2/2017 0:00,offline,BASKETBALL,1618,62,1,62
8/2/2017 0:00,offline,BADMINTON,1618,6365,67,95
8/2/2017 0:00,offline,TRAIL,1614,2697,31,87
8/2/2017 0:00,offline,TRAIL,1618,3534,62,57
8/2/2017 0:00,online,BADMINTON,191,3441,37,93
8/2/2017 0:00,offline,DIVING,1614,5494,67,82
8/2/2017 0:00,offline,SKATE/ROLLER,1618,6084,78,78
8/2/2017 0:00,offline,SKATE/ROLLER,1614,2970,30,99
8/2/2017 0:00,offline,GOLF,1614,78,26,3
8/2/2017 0:00,offline,JOG/RUN,1614,4615,71,65
8/2/2017 0:00,offline,PILATES,1618,5076,54,94
8/2/2017 0:00,online,DIVING,191,1188,66,18
8/2/2017 0:00,online,Others,191,215,43,5
8/2/2017 0:00,offline,PILATES,1614,180,6,30
8/2/2017 0:00,offline,SURFING,1614,1500,75,20
8/2/2017 0:00,offline,YOGA,1614,234,13,18
8/2/2017 0:00,offline,YOGA,1618,1593,27,59
8/2/2017 0:00,offline,FOOTBALL,1618,2370,79,30
8/2/2017 0:00,offline,BASKETBALL,1614,3300,75,44
8/2/2017 0:00,offline,KAYAK/SUP,1618,8742,93,94
8/2/2017 0:00,online,YOGA,191,162,18,9
8/2/2017 0:00,offline,Others,1614,122,2,61
8/2/2017 0:00,online,SURFING,191,6512,74,88
8/2/2017 0:00,offline,BADMINTON,1614,2550,85,30
8/2/2017 0:00,online,TRAIL,191,2652,34,78
8/2/2017 0:00,online,BOXING,191,310,31,10
8/2/2017 0:00,offline,FITNESS,1614,3872,88,44
8/2/2017 0:00,offline,VOLLEYBALL,1618,7644,91,84
8/2/2017 0:00,offline,FOOTBALL,1614,1602,89,18
8/2/2017 0:00,offline,BOXING,1618,3360,35,96
8/2/2017 0:00,offline,RUGBY,1614,1350,50,27
8/2/2017 0:00,offline,CYCLING,1614,5229,83,63
8/2/2017 0:00,offline,SAILING,1614,918,18,51
8/2/2017 0:00,offline,Others,1618,198,2,99
8/2/2017 0:00,online,PILATES,191,1792,28,64
8/2/2017 0:00,online,FOOTBALL,191,6030,67,90
8/2/2017 0:00,offline,TRIATHLON,1614,3234,66,49
8/2/2017 0:00,offline,GOLF,1618,2304,72,32
8/2/2017 0:00,offline,HIKING/TREKKING,1618,1953,63,31
8/2/2017 0:00,offline,HIKING/TREKKING,1614,2240,32,70
8/2/2017 0:00,offline,SQUASH,1614,374,17,22
8/2/2017 0:00,offline,CROSSTRAIN,1614,255,5,51
8/2/2017 0:00,offline,SQUASH,1618,3198,82,39
8/2/2017 0:00,offline,UNKNOWN,1618,4324,94,46
8/2/2017 0:00,online,SKI,191,1496,17,88
8/2/2017 0:00,online,HIKING/TREKKING,191,285,15,19
8/2/2017 0:00,online,BASKETBALL,191,880,80,11
8/2/2017 0:00,online,VOLLEYBALL,191,825,11,75
8/2/2017 0:00,online,FITNESS,191,2380,68,35
8/2/2017 0:00,online,JOG/RUN,191,1176,14,84
8/2/2017 0:00,online,CYCLING,191,1740,29,60
8/2/2017 0:00,offline,UNKNOWN,1614,6570,90,73
8/2/2017 0:00,online,CROSSTRAIN,191,2926,77,38
8/2/2017 0:00,online,TENNIS,191,1767,19,93
8/2/2017 0:00,offline,TABLE_TENNIS,1614,1424,89,16
8/2/2017 0:00,online,SWIMMING,191,952,28,34
8/2/2017 0:00,offline,SKI,1614,308,44,7
8/2/2017 0:00,online,KAYAK/SUP,191,494,13,38
8/3/2017 0:00,offline,CROSSTRAIN,1614,1260,35,36
8/3/2017 0:00,offline,VOLLEYBALL,1614,60,20,3
8/3/2017 0:00,offline,TENNIS,1618,234,3,78
8/3/2017 0:00,offline,SURFING,1618,138,3,46
8/3/2017 0:00,offline,JOG/RUN,1618,7872,96,82
8/3/2017 0:00,offline,SURFING,1614,2058,98,21
8/3/2017 0:00,offline,YOGA,1614,7663,79,97
8/3/2017 0:00,offline,DIVING,1618,363,33,11
8/3/2017 0:00,online,SKATE/ROLLER,191,1328,16,83
8/3/2017 0:00,offline,TRAIL,1614,98,49,2
8/3/2017 0:00,offline,JOG/RUN,1614,3904,61,64
8/3/2017 0:00,offline,PILATES,1614,4230,45,94
8/3/2017 0:00,offline,SWIMMING,1614,7410,78,95
8/3/2017 0:00,offline,BADMINTON,1618,4576,52,88
8/3/2017 0:00,online,JOG/RUN,191,2755,29,95
8/3/2017 0:00,offline,GOLF,1618,56,7,8
8/3/2017 0:00,online,KAYAK/SUP,191,4067,83,49
8/3/2017 0:00,online,BASKETBALL,191,1886,41,46
8/3/2017 0:00,offline,BASKETBALL,1614,1998,54,37
8/3/2017 0:00,offline,FOOTBALL,1618,1045,95,11
8/3/2017 0:00,offline,PILATES,1618,1280,32,40
8/3/2017 0:00,offline,KAYAK/SUP,1618,3234,98,33
8/3/2017 0:00,offline,TABLE_TENNIS,1614,1560,78,20
8/3/2017 0:00,offline,TENNIS,1614,2295,51,45
8/3/2017 0:00,offline,BASKETBALL,1618,220,20,11
8/3/2017 0:00,offline,SWIMMING,1618,1176,21,56
8/3/2017 0:00,offline,CLIMBING,1618,6664,68,98
8/3/2017 0:00,online,Others,191,4081,53,77
8/3/2017 0:00,offline,SKATE/ROLLER,1614,2772,66,42
8/3/2017 0:00,offline,TRIATHLON,1614,2210,34,65
8/3/2017 0:00,offline,BADMINTON,1614,1702,23,74
8/3/2017 0:00,offline,Others,1618,2047,89,23
8/3/2017 0:00,offline,FOOTBALL,1614,192,32,6
8/3/2017 0:00,offline,TABLE_TENNIS,1618,4779,81,59
8/3/2017 0:00,offline,TRAIL,1618,325,25,13
8/3/2017 0:00,offline,DIVING,1614,600,30,20
8/3/2017 0:00,online,GOLF,191,3186,54,59
8/3/2017 0:00,offline,YOGA,1618,4000,50,80
8/3/2017 0:00,offline,HIKING/TREKKING,1614,3752,56,67
8/3/2017 0:00,offline,SKATE/ROLLER,1618,962,37,26
8/3/2017 0:00,offline,SAILING,1614,4828,68,71
8/3/2017 0:00,online,CYCLING,191,3726,69,54
8/3/2017 0:00,offline,GOLF,1614,48,16,3
8/3/2017 0:00,offline,CYCLING,1614,504,21,24
8/3/2017 0:00,offline,BOXING,1618,5313,69,77
8/3/2017 0:00,online,FOOTBALL,191,1908,36,53
8/3/2017 0:00,offline,RUGBY,1618,679,97,7
8/3/2017 0:00,offline,SQUASH,1614,4816,56,86
8/3/2017 0:00,online,BOXING,191,4675,85,55
8/3/2017 0:00,offline,CYCLING,1618,1330,14,95
8/3/2017 0:00,offline,UNKNOWN,1618,115,5,23
8/3/2017 0:00,offline,Others,1614,1230,30,41
8/3/2017 0:00,online,HIKING/TREKKING,191,1058,46,23
8/3/2017 0:00,offline,FITNESS,1618,40,1,40
8/3/2017 0:00,online,FITNESS,191,7452,92,81
8/3/2017 0:00,offline,SQUASH,1618,3136,56,56
8/3/2017 0:00,online,BADMINTON,191,403,31,13
8/3/2017 0:00,offline,HIKING/TREKKING,1618,7154,98,73
8/3/2017 0:00,online,SKI,191,378,14,27
8/3/2017 0:00,online,DIVING,191,6716,73,92
8/3/2017 0:00,online,YOGA,191,1200,24,50
8/3/2017 0:00,offline,CROSSTRAIN,1618,1023,11,93
8/3/2017 0:00,offline,FITNESS,1614,3536,52,68
8/3/2017 0:00,online,TENNIS,191,605,55,11
8/3/2017 0:00,offline,UNKNOWN,1614,3081,39,79
8/3/2017 0:00,online,CROSSTRAIN,191,4851,49,99
8/3/2017 0:00,online,PILATES,191,57,1,57
8/3/2017 0:00,offline,RUGBY,1614,2304,64,36
8/3/2017 0:00,offline,VOLLEYBALL,1618,2754,51,54
8/3/2017 0:00,online,SURFING,191,296,37,8
8/3/2017 0:00,online,TABLE_TENNIS,191,6232,82,76
8/3/2017 0:00,online,SWIMMING,191,7735,91,85
8/4/2017 0:00,offline,SURFING,1614,2793,49,57
8/4/2017 0:00,offline,FOOTBALL,1618,5035,53,95
8/4/2017 0:00,offline,DIVING,1614,279,3,93
8/4/2017 0:00,offline,CYCLING,1618,2940,42,70
8/4/2017 0:00,offline,PILATES,1614,3135,57,55
8/4/2017 0:00,offline,CLIMBING,1618,576,48,12
8/4/2017 0:00,offline,SKATE/ROLLER,1614,420,84,5
8/4/2017 0:00,online,CROSSTRAIN,191,1300,26,50
8/4/2017 0:00,online,FOOTBALL,191,3610,95,38
8/4/2017 0:00,offline,BADMINTON,1618,464,58,8
8/4/2017 0:00,offline,SQUASH,1614,4212,52,81
8/4/2017 0:00,offline,TABLE_TENNIS,1618,5320,95,56
8/4/2017 0:00,offline,JOG/RUN,1618,3120,40,78
8/4/2017 0:00,offline,BOXING,1618,3168,99,32
8/4/2017 0:00,offline,SWIMMING,1614,5605,95,59
8/4/2017 0:00,offline,Others,1614,4,4,1
8/4/2017 0:00,offline,CROSSTRAIN,1618,4148,61,68
8/4/2017 0:00,online,SKATE/ROLLER,191,23,23,1
8/4/2017 0:00,offline,HIKING/TREKKING,1614,5580,93,60
8/4/2017 0:00,offline,YOGA,1614,9009,91,99
8/4/2017 0:00,offline,SQUASH,1618,2520,70,36
8/4/2017 0:00,offline,BASKETBALL,1618,3003,77,39
8/4/2017 0:00,online,VOLLEYBALL,191,992,62,16
8/4/2017 0:00,offline,Others,1618,4774,62,77
8/4/2017 0:00,offline,RUGBY,1614,750,10,75
8/4/2017 0:00,offline,VOLLEYBALL,1614,588,12,49
8/4/2017 0:00,offline,TENNIS,1618,3870,90,43
8/4/2017 0:00,offline,YOGA,1618,24,6,4
8/4/2017 0:00,offline,FITNESS,1618,2068,22,94
8/4/2017 0:00,offline,BASKETBALL,1614,2544,48,53
8/4/2017 0:00,offline,FOOTBALL,1614,2970,45,66
8/4/2017 0:00,offline,VOLLEYBALL,1618,1428,42,34
8/4/2017 0:00,online,TRAIL,191,258,86,3
8/4/2017 0:00,online,SWIMMING,191,4140,92,45
8/4/2017 0:00,offline,RUGBY,1618,2331,37,63
8/4/2017 0:00,offline,GOLF,1618,1620,81,20
8/4/2017 0:00,offline,FITNESS,1614,3700,50,74
8/4/2017 0:00,offline,UNKNOWN,1618,5256,73,72
8/4/2017 0:00,offline,JOG/RUN,1614,690,10,69
8/4/2017 0:00,offline,CROSSTRAIN,1614,1406,19,74
8/4/2017 0:00,offline,CYCLING,1614,38,1,38
8/4/2017 0:00,online,PILATES,191,1296,18,72
8/4/2017 0:00,online,BASKETBALL,191,1326,78,17
8/4/2017 0:00,offline,SKATE/ROLLER,1618,57,1,57
8/4/2017 0:00,offline,PILATES,1618,8190,91,90
8/4/2017 0:00,offline,GOLF,1614,1260,42,30
8/4/2017 0:00,offline,UNKNOWN,1614,527,17,31
8/4/2017 0:00,online,HIKING/TREKKING,191,7728,84,92
8/4/2017 0:00,online,FITNESS,191,3813,41,93
8/4/2017 0:00,offline,HIKING/TREKKING,1618,7565,85,89
8/4/2017 0:00,online,CYCLING,191,90,90,1
8/4/2017 0:00,offline,KAYAK/SUP,1618,2958,87,34
8/4/2017 0:00,offline,TABLE_TENNIS,1614,4745,65,73
8/4/2017 0:00,offline,SAILING,1614,3192,76,42
8/4/2017 0:00,offline,SURFING,1618,4100,50,82
8/4/2017 0:00,online,BOXING,191,64,16,4
8/4/2017 0:00,online,SKI,191,782,17,46
8/4/2017 0:00,offline,SWIMMING,1618,3024,54,56
8/4/2017 0:00,online,JOG/RUN,191,104,2,52
8/4/2017 0:00,online,BADMINTON,191,246,82,3
8/4/2017 0:00,offline,DIVING,1618,189,21,9
8/4/2017 0:00,online,TENNIS,191,1728,32,54
8/4/2017 0:00,offline,TENNIS,1614,4802,49,98
8/4/2017 0:00,offline,TRAIL,1614,2438,46,53
8/4/2017 0:00,online,DIVING,191,1134,63,18
8/4/2017 0:00,online,KAYAK/SUP,191,7832,89,88
8/4/2017 0:00,offline,BADMINTON,1614,1680,70,24
8/4/2017 0:00,offline,TRAIL,1618,238,14,17
8/4/2017 0:00,online,SURFING,191,864,18,48
8/4/2017 0:00,offline,TRIATHLON,1614,5226,67,78
8/4/2017 0:00,online,Others,191,1260,42,30
8/4/2017 0:00,online,CLIMBING,191,2829,41,69
8/4/2017 0:00,online,YOGA,191,231,11,21
8/5/2017 0:00,offline,SKATE/ROLLER,1614,6762,98,69
8/5/2017 0:00,offline,TRAIL,1614,3744,52,72
8/5/2017 0:00,offline,GOLF,1618,1978,23,86
8/5/2017 0:00,offline,FITNESS,1614,1044,36,29
8/5/2017 0:00,offline,PILATES,1618,5808,66,88
8/5/2017 0:00,offline,FOOTBALL,1618,34,17,2
8/5/2017 0:00,offline,SURFING,1614,816,16,51
8/5/2017 0:00,offline,BADMINTON,1618,8648,94,92
8/5/2017 0:00,offline,SWIMMING,1618,3186,54,59
8/5/2017 0:00,offline,FITNESS,1618,44,4,11
8/5/2017 0:00,offline,PILATES,1614,4556,67,68
8/5/2017 0:00,offline,BASKETBALL,1618,1598,17,94
8/5/2017 0:00,offline,TABLE_TENNIS,1618,3886,67,58
8/5/2017 0:00,offline,FOOTBALL,1614,2016,84,24
8/5/2017 0:00,offline,SKATE/ROLLER,1618,702,78,9
8/5/2017 0:00,offline,SURFING,1618,3600,90,40
8/5/2017 0:00,online,SURFING,191,684,19,36
8/5/2017 0:00,offline,JOG/RUN,1614,4416,69,64
8/5/2017 0:00,offline,TENNIS,1614,644,28,23
8/5/2017 0:00,offline,DIVING,1618,1980,66,30
8/5/2017 0:00,offline,YOGA,1618,540,54,10
8/5/2017 0:00,offline,DIVING,1614,180,4,45
8/5/2017 0:00,online,DIVING,191,638,22,29
8/5/2017 0:00,offline,BADMINTON,1614,324,6,54
8/5/2017 0:00,offline,HIKING/TREKKING,1618,44,4,11
8/5/2017 0:00,offline,UNKNOWN,1618,6800,85,80
8/5/2017 0:00,offline,TRAIL,1618,6723,83,81
8/5/2017 0:00,offline,YOGA,1614,2516,34,74
8/5/2017 0:00,offline,Others,1618,1380,60,23
8/5/2017 0:00,offline,SQUASH,1618,1036,28,37
8/5/2017 0:00,online,YOGA,191,1971,27,73
8/5/2017 0:00,offline,TENNIS,1618,4180,55,76
8/5/2017 0:00,offline,Others,1614,1634,43,38
8/5/2017 0:00,offline,BASKETBALL,1614,1430,22,65
8/5/2017 0:00,offline,RUGBY,1614,1440,48,30
8/5/2017 0:00,offline,GOLF,1614,3916,44,89
8/5/2017 0:00,offline,CLIMBING,1618,348,12,29
8/5/2017 0:00,offline,KAYAK/SUP,1618,1269,27,47
8/5/2017 0:00,offline,BOXING,1618,546,91,6
8/5/2017 0:00,offline,HIKING/TREKKING,1614,465,15,31
8/5/2017 0:00,online,BADMINTON,191,1007,53,19
8/5/2017 0:00,offline,RUGBY,1618,2254,46,49
8/5/2017 0:00,offline,SQUASH,1614,4365,97,45
8/5/2017 0:00,online,CYCLING,191,1554,37,42
8/5/2017 0:00,offline,CLIMBING,1614,8463,91,93
8/5/2017 0:00,online,FOOTBALL,191,1178,31,38
8/5/2017 0:00,online,BASKETBALL,191,68,34,2
8/5/2017 0:00,offline,CYCLING,1614,1496,17,88
8/5/2017 0:00,online,SWIMMING,191,7178,74,97
8/5/2017 0:00,online,CROSSTRAIN,191,970,10,97
8/5/2017 0:00,offline,TABLE_TENNIS,1614,240,40,6
8/5/2017 0:00,offline,CYCLING,1618,6237,77,81
8/5/2017 0:00,online,TRAIL,191,416,32,13
8/5/2017 0:00,online,CLIMBING,191,1833,47,39
8/5/2017 0:00,online,GOLF,191,402,67,6
8/5/2017 0:00,online,TABLE_TENNIS,191,2862,53,54
8/5/2017 0:00,offline,UNKNOWN,1614,6942,78,89
8/5/2017 0:00,online,SKI,191,1820,65,28
8/5/2017 0:00,online,VOLLEYBALL,191,481,37,13
8/5/2017 0:00,online,FITNESS,191,171,3,57
8/5/2017 0:00,online,PILATES,191,4980,83,60
8/5/2017 0:00,online,Others,191,594,54,11
8/5/2017 0:00,online,HIKING/TREKKING,191,5694,78,73
8/5/2017 0:00,offline,CROSSTRAIN,1618,2914,31,94
8/5/2017 0:00,offline,CROSSTRAIN,1614,2006,34,59
8/5/2017 0:00,offline,JOG/RUN,1618,5852,76,77
8/5/2017 0:00,offline,VOLLEYBALL,1618,7347,79,93
8/5/2017 0:00,offline,SWIMMING,1614,646,17,38
8/5/2017 0:00,offline,TRIATHLON,1614,2576,56,46
8/5/2017 0:00,online,SKATE/ROLLER,191,5762,67,86
8/5/2017 0:00,offline,SAILING,1614,1365,39,35
8/5/2017 0:00,offline,VOLLEYBALL,1614,2856,68,42
8/5/2017 0:00,online,KAYAK/SUP,191,2562,42,61
8/5/2017 0:00,online,JOG/RUN,191,736,16,46
8/5/2017 0:00,online,TENNIS,191,7332,94,78
8/6/2017 0:00,offline,HIKING/TREKKING,1618,5841,99,59
8/6/2017 0:00,offline,TENNIS,1614,4556,67,68
8/6/2017 0:00,offline,UNKNOWN,1618,3276,39,84
8/6/2017 0:00,offline,SWIMMING,1614,396,44,9
8/6/2017 0:00,offline,FOOTBALL,1618,4606,94,49
8/6/2017 0:00,offline,TRAIL,1618,1876,28,67
8/6/2017 0:00,offline,BADMINTON,1614,980,49,20
8/6/2017 0:00,offline,SWIMMING,1618,2263,73,31
8/6/2017 0:00,offline,JOG/RUN,1614,1428,68,21
8/6/2017 0:00,offline,PILATES,1618,825,55,15
8/6/2017 0:00,offline,JOG/RUN,1618,2232,93,24
8/6/2017 0:00,offline,SURFING,1614,2610,90,29
8/6/2017 0:00,online,JOG/RUN,191,5688,79,72
8/6/2017 0:00,offline,HIKING/TREKKING,1614,570,15,38
8/6/2017 0:00,offline,SKATE/ROLLER,1614,2304,96,24
8/6/2017 0:00,offline,BASKETBALL,1618,50,1,50
8/6/2017 0:00,offline,SURFING,1618,396,44,9
8/6/2017 0:00,offline,FITNESS,1618,4312,98,44
8/6/2017 0:00,online,BADMINTON,191,6132,84,73
8/6/2017 0:00,offline,TRIATHLON,1614,1058,23,46
8/6/2017 0:00,offline,BASKETBALL,1614,185,5,37
8/6/2017 0:00,offline,TENNIS,1618,6132,84,73
8/6/2017 0:00,offline,SKATE/ROLLER,1618,713,31,23
8/6/2017 0:00,online,KAYAK/SUP,191,1300,50,26
8/6/2017 0:00,offline,DIVING,1614,1204,28,43
8/6/2017 0:00,offline,FOOTBALL,1614,8008,91,88
8/6/2017 0:00,offline,GOLF,1618,480,30,16
8/6/2017 0:00,offline,PILATES,1614,4032,42,96
8/6/2017 0:00,online,GOLF,191,1602,18,89
8/6/2017 0:00,offline,TRAIL,1614,1836,68,27
8/6/2017 0:00,online,SKATE/ROLLER,191,330,11,30
8/6/2017 0:00,offline,SQUASH,1614,120,6,20
8/6/2017 0:00,online,FOOTBALL,191,2080,80,26
8/6/2017 0:00,online,SURFING,191,2790,90,31
8/6/2017 0:00,offline,TABLE_TENNIS,1614,492,82,6
8/6/2017 0:00,offline,Others,1618,4565,83,55
8/6/2017 0:00,offline,SAILING,1614,1680,70,24
8/6/2017 0:00,offline,CYCLING,1618,396,9,44
8/6/2017 0:00,offline,UNKNOWN,1614,486,6,81
8/6/2017 0:00,offline,CLIMBING,1618,2961,63,47
8/6/2017 0:00,offline,BADMINTON,1618,1334,29,46
8/6/2017 0:00,online,CROSSTRAIN,191,192,32,6
8/6/2017 0:00,online,TRAIL,191,4080,68,60
8/6/2017 0:00,offline,FITNESS,1614,520,26,20
8/6/2017 0:00,offline,TABLE_TENNIS,1618,3408,71,48
8/6/2017 0:00,offline,DIVING,1618,931,49,19
8/6/2017 0:00,online,DIVING,191,294,21,14
8/6/2017 0:00,offline,BOXING,1618,276,4,69
8/6/2017 0:00,offline,CROSSTRAIN,1614,1425,25,57
8/6/2017 0:00,offline,VOLLEYBALL,1618,528,44,12
8/6/2017 0:00,online,YOGA,191,962,37,26
8/6/2017 0:00,offline,YOGA,1618,812,14,58
8/6/2017 0:00,online,Others,191,2295,85,27
8/6/2017 0:00,offline,CLIMBING,1614,680,40,17
8/6/2017 0:00,offline,GOLF,1614,710,10,71
8/6/2017 0:00,offline,RUGBY,1614,3717,63,59
8/6/2017 0:00,online,HIKING/TREKKING,191,625,25,25
8/6/2017 0:00,offline,KAYAK/SUP,1618,896,14,64
8/6/2017 0:00,offline,SQUASH,1618,2808,78,36
8/6/2017 0:00,online,FITNESS,191,3795,55,69
8/6/2017 0:00,online,SWIMMING,191,6956,94,74
8/6/2017 0:00,offline,CYCLING,1614,700,70,10
8/6/2017 0:00,online,CYCLING,191,7917,87,91
8/6/2017 0:00,offline,CROSSTRAIN,1618,2592,81,32
8/6/2017 0:00,online,BASKETBALL,191,855,95,9
8/6/2017 0:00,offline,VOLLEYBALL,1614,1694,77,22
8/6/2017 0:00,offline,YOGA,1614,249,3,83
8/6/2017 0:00,online,TENNIS,191,249,83,3
8/6/2017 0:00,online,SKI,191,1155,21,55
8/6/2017 0:00,online,PILATES,191,1746,97,18
8/7/2017 0:00,offline,HIKING/TREKKING,1618,3540,60,59
8/7/2017 0:00,offline,TENNIS,1618,2464,88,28
8/7/2017 0:00,offline,SWIMMING,1618,5208,62,84
8/7/2017 0:00,online,JOG/RUN,191,4575,61,75
8/7/2017 0:00,offline,CROSSTRAIN,1614,455,5,91
8/7/2017 0:00,offline,JOG/RUN,1618,3648,76,48
8/7/2017 0:00,offline,PILATES,1618,676,52,13
8/7/2017 0:00,offline,SURFING,1618,3444,82,42
8/7/2017 0:00,offline,TABLE_TENNIS,1618,2156,49,44
8/7/2017 0:00,offline,BADMINTON,1614,7104,74,96
8/7/2017 0:00,offline,JOG/RUN,1614,720,40,18
8/7/2017 0:00,offline,TRAIL,1614,3840,40,96
8/7/2017 0:00,offline,BASKETBALL,1618,6132,73,84
8/7/2017 0:00,online,SWIMMING,191,7790,82,95
8/7/2017 0:00,offline,SWIMMING,1614,1518,22,69
8/7/2017 0:00,offline,UNKNOWN,1618,6370,91,70
8/7/2017 0:00,offline,PILATES,1614,67,1,67
8/7/2017 0:00,offline,BADMINTON,1618,1479,87,17
8/7/2017 0:00,offline,FITNESS,1618,1026,38,27
8/7/2017 0:00,offline,SKATE/ROLLER,1618,3916,89,44
8/7/2017 0:00,offline,FOOTBALL,1618,80,4,20
8/7/2017 0:00,online,SAILING,191,1656,69,24
8/7/2017 0:00,offline,TRAIL,1618,5396,71,76
8/7/2017 0:00,offline,SKATE/ROLLER,1614,2460,60,41
8/7/2017 0:00,offline,CROSSTRAIN,1618,8245,97,85
8/7/2017 0:00,offline,TENNIS,1614,5092,67,76
8/7/2017 0:00,online,DIVING,191,6984,72,97
8/7/2017 0:00,offline,DIVING,1618,2856,51,56
8/7/2017 0:00,online,YOGA,191,1568,32,49
8/7/2017 0:00,online,BADMINTON,191,5076,94,54
8/7/2017 0:00,offline,GOLF,1614,2790,45,62
8/7/2017 0:00,offline,SAILING,1614,2160,36,60
8/7/2017 0:00,offline,KAYAK/SUP,1618,2752,86,32
8/7/2017 0:00,online,Others,191,5952,64,93
8/7/2017 0:00,online,TRAIL,191,1116,18,62
8/7/2017 0:00,offline,BASKETBALL,1614,7820,85,92
8/7/2017 0:00,offline,SURFING,1614,760,76,10
8/7/2017 0:00,offline,TABLE_TENNIS,1614,220,20,11
8/7/2017 0:00,offline,TRIATHLON,1614,6142,83,74
8/7/2017 0:00,offline,DIVING,1614,357,21,17
8/7/2017 0:00,online,FOOTBALL,191,9114,98,93
8/7/2017 0:00,offline,SQUASH,1618,1404,26,54
8/7/2017 0:00,online,SKATE/ROLLER,191,504,28,18
8/7/2017 0:00,offline,YOGA,1618,924,12,77
8/7/2017 0:00,online,CLIMBING,191,2698,71,38
